"","1","2","3","4","5","6","7","8","9"
"1",215,213,81,10,274,166,1,207,73
"2",206,183,40,5,270,225,7,143,51
"3",195,255,77,4,268,146,1,239,55
"4",169,307,109,4,189,27,0,311,84
"5",19,224,353,105,24,0,50,165,300
"6",0,28,243,327,0,0,329,11,262
"7",0,0,39,423,0,0,717,1,60
"8",0,0,43,409,0,0,731,0,57
"9",0,12,198,354,0,0,382,18,236
"10",16,93,320,180,10,0,146,128,347
"11",145,228,208,28,115,33,28,237,178
"12",212,285,85,13,208,110,8,216,103
